date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2022-04-17,10000.0,10000.0,10000.0,10000.0,990000000000,99000000,1377,10000.0,10000.0,1401-01-28
2022-05-14,10137.0,10137.0,10137.0,10137.0,5496494277,542221,27,10000.0,10137.0,1401-02-24
2022-05-15,10147.0,10148.0,10147.0,10148.0,96607006426,9519920,252,10137.0,10148.0,1401-02-25
2022-05-16,10154.0,10156.0,10153.0,10154.0,117006702385,11523183,280,10148.0,10156.0,1401-02-26
2022-05-17,10158.0,10159.0,10158.0,10158.0,28781163601,2833332,102,10154.0,10158.0,1401-02-27
2022-05-18,10165.0,10165.0,10164.0,10165.0,68597725435,6748459,189,10158.0,10165.0,1401-02-28
2022-05-21,10181.0,10182.0,10181.0,10181.0,35242909108,3461476,103,10165.0,10182.0,1401-02-31
2022-05-22,10187.0,10187.0,10186.0,10186.0,12717306468,1248487,59,10181.0,10186.0,1401-03-01
2022-05-23,10191.0,10192.0,10191.0,10191.0,125986230108,12361973,272,10186.0,10192.0,1401-03-02
2022-05-24,10198.0,10198.0,10197.0,10197.0,260122546332,25508985,541,10191.0,10198.0,1401-03-03
2022-05-25,10202.0,10203.0,10202.0,10202.0,10738477195,1052583,30,10197.0,10203.0,1401-03-04
2022-05-28,10219.0,10219.0,10218.0,10218.0,21353090402,2089748,65,10202.0,10218.0,1401-03-07
2022-05-29,10224.0,10225.0,10224.0,10224.0,25976191898,2540698,74,10218.0,10224.0,1401-03-08
2022-05-30,10229.0,10230.0,10229.0,10229.0,1000448454,97803,19,10224.0,10229.0,1401-03-09
2022-05-31,10235.0,10236.0,10235.0,10235.0,12521596624,1223390,79,10229.0,10236.0,1401-03-10
2022-06-01,10240.0,10251.0,10240.0,10245.0,1426510957,139244,24,10235.0,10251.0,1401-03-11
2022-06-06,10279.0,10280.0,10279.0,10280.0,3172159436,308588,32,10245.0,10280.0,1401-03-16
2022-06-07,10285.0,10286.0,10285.0,10285.0,1979854242,192492,30,10280.0,10286.0,1401-03-17
2022-06-08,10291.0,10292.0,10291.0,10292.0,22621452202,2198039,71,10285.0,10292.0,1401-03-18
2022-06-11,10006.0,10006.0,10005.0,10006.0,5629074735,562572,58,10292.0,10006.0,1401-03-21
2022-06-12,10012.0,10012.0,10011.0,10011.0,83700597682,8360663,236,10006.0,10012.0,1401-03-22
2022-06-13,10018.0,10018.0,10017.0,10018.0,35115073413,3505282,103,10011.0,10017.0,1401-03-23
2022-06-14,10022.0,10023.0,10022.0,10022.0,21096773263,2104989,59,10018.0,10023.0,1401-03-24
2022-06-15,10028.0,10029.0,10028.0,10029.0,4771763534,475803,26,10022.0,10029.0,1401-03-25
2022-06-18,10045.0,10046.0,10045.0,10045.0,37374988277,3720607,89,10029.0,10045.0,1401-03-28
2022-06-19,10051.0,10051.0,10050.0,10051.0,63270113944,6295163,136,10045.0,10051.0,1401-03-29
2022-06-20,10056.0,10057.0,10056.0,10056.0,31756405900,3157879,76,10051.0,10057.0,1401-03-30
