date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2020-11-23,990.0,990.0,910.0,980.0,6149720230,6290770,254,1000.0,990.0,1399-09-03
2020-11-24,940.0,1000.0,940.0,980.0,13597946390,14298391,564,980.0,940.0,1399-09-04
2020-11-25,940.0,940.0,940.0,980.0,541434360,575994,46,980.0,940.0,1399-09-05
2020-11-28,940.0,940.0,940.0,980.0,203140580,216107,21,980.0,940.0,1399-09-08
2020-11-29,940.0,940.0,940.0,980.0,1011252940,1075801,63,980.0,940.0,1399-09-09
2020-11-30,940.0,1020.0,940.0,980.0,33042829250,34227782,875,980.0,1020.0,1399-09-10
2020-12-01,990.0,990.0,940.0,970.0,21585624110,22838081,759,980.0,940.0,1399-09-11
2020-12-02,930.0,930.0,930.0,970.0,1234837260,1327782,77,970.0,930.0,1399-09-12
2020-12-05,930.0,930.0,930.0,970.0,2165060460,2328022,76,970.0,930.0,1399-09-15
2020-12-06,930.0,930.0,930.0,970.0,1145428920,1231644,53,970.0,930.0,1399-09-16
2020-12-07,930.0,930.0,930.0,970.0,1032374400,1110080,37,970.0,930.0,1399-09-17
2020-12-08,930.0,930.0,930.0,970.0,348713730,374961,26,970.0,930.0,1399-09-18
2020-12-09,930.0,930.0,930.0,970.0,506007420,544094,30,970.0,930.0,1399-09-19
2020-12-12,930.0,930.0,930.0,970.0,609455970,655329,41,970.0,930.0,1399-09-22
2020-12-13,930.0,930.0,930.0,970.0,348979710,375247,25,970.0,930.0,1399-09-23
2020-12-14,930.0,930.0,930.0,970.0,90795900,97630,13,970.0,930.0,1399-09-24
2020-12-15,930.0,930.0,930.0,970.0,22133070,23799,4,970.0,930.0,1399-09-25
2020-12-16,930.0,930.0,930.0,970.0,24577110,26427,3,970.0,930.0,1399-09-26
2020-12-19,930.0,930.0,930.0,970.0,48893820,52574,8,970.0,930.0,1399-09-29
2020-12-20,930.0,930.0,930.0,970.0,105810750,113775,6,970.0,930.0,1399-09-30
2020-12-21,930.0,930.0,930.0,970.0,217407960,233772,18,970.0,930.0,1399-10-01
2020-12-22,930.0,930.0,930.0,970.0,606066120,651684,23,970.0,930.0,1399-10-02
2020-12-23,930.0,930.0,930.0,970.0,141888240,152568,16,970.0,930.0,1399-10-03
2020-12-26,930.0,930.0,930.0,970.0,1322137290,1421653,36,970.0,930.0,1399-10-06
2020-12-27,930.0,930.0,930.0,970.0,300062640,322648,18,970.0,930.0,1399-10-07
2020-12-28,930.0,930.0,930.0,970.0,585322470,629379,22,970.0,930.0,1399-10-08
2020-12-29,930.0,930.0,930.0,970.0,106142760,114132,8,970.0,930.0,1399-10-09
2020-12-30,930.0,930.0,930.0,970.0,744511500,800550,17,970.0,930.0,1399-10-10
2021-01-02,930.0,930.0,930.0,970.0,79516860,85502,6,970.0,930.0,1399-10-13
2021-01-03,930.0,930.0,930.0,970.0,21025440,22608,4,970.0,930.0,1399-10-14
2021-01-04,930.0,930.0,930.0,970.0,112495590,120963,7,970.0,930.0,1399-10-15
2021-01-05,930.0,930.0,930.0,970.0,165567900,178030,11,970.0,930.0,1399-10-16
2021-01-06,930.0,930.0,930.0,970.0,5180100,5570,1,970.0,930.0,1399-10-17
2021-01-09,930.0,930.0,930.0,970.0,29849280,32096,2,970.0,930.0,1399-10-20
2021-01-10,930.0,930.0,930.0,970.0,65762160,70712,4,970.0,930.0,1399-10-21
