date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2004-09-25,15500.0,15500.0,15500.0,15500.0,15360500,991,2,15500.0,15500.0,1383-07-04
2004-09-26,15500.0,16300.0,15500.0,15997.0,181363170,11337,23,15500.0,15997.0,1383-07-05
2004-09-27,16390.0,16600.0,16000.0,16397.0,583546664,35588,31,15997.0,16397.0,1383-07-06
2004-09-28,16401.0,17000.0,16377.0,16540.0,1770720443,107054,69,16397.0,16540.0,1383-07-07
2004-09-29,17002.0,17050.0,16501.0,17014.0,1095720324,64401,32,16540.0,17014.0,1383-07-08
2004-10-02,16950.0,16950.0,16949.0,16949.0,121530290,7170,6,17014.0,16949.0,1383-07-11
2004-10-03,16796.0,16796.0,15988.0,16004.0,297995605,18620,13,16949.0,16004.0,1383-07-12
2004-10-04,15959.0,15960.0,15870.0,15943.0,391250170,24540,9,16004.0,15943.0,1383-07-13
2004-10-05,15144.0,15145.0,14600.0,14919.0,567836065,38059,13,15943.0,14919.0,1383-07-14
2004-10-06,14600.0,15118.0,14600.0,14992.0,483467671,32247,20,14919.0,14992.0,1383-07-15
2004-10-09,15112.0,15400.0,15108.0,15323.0,148607846,9698,12,14992.0,15323.0,1383-07-18
2004-10-10,15323.0,15500.0,15320.0,15334.0,998175361,65093,27,15323.0,15334.0,1383-07-19
2004-10-11,15102.0,15102.0,14920.0,15040.0,554885728,36892,23,15334.0,15040.0,1383-07-20
2004-10-12,15080.0,15080.0,14300.0,14590.0,30260800,2074,6,15040.0,14590.0,1383-07-21
2004-10-13,14595.0,14601.0,14000.0,14569.0,350909934,24085,21,14590.0,14569.0,1383-07-22
2004-10-16,14400.0,14400.0,14308.0,14352.0,793629889,55296,35,14569.0,14352.0,1383-07-25
2004-10-17,14000.0,14300.0,14000.0,14078.0,95524780,6785,6,14352.0,14078.0,1383-07-26
2004-10-18,13000.0,13940.0,13000.0,13462.0,69021468,5127,5,14078.0,13462.0,1383-07-27
2004-10-19,13458.0,13460.0,12800.0,13183.0,321807244,24410,14,13462.0,13183.0,1383-07-28
2004-10-20,13183.0,13183.0,12801.0,12878.0,53614901,4163,13,13183.0,12878.0,1383-07-29
2004-10-23,13167.0,14000.0,12850.0,13234.0,977200810,73837,32,12878.0,13234.0,1383-08-02
2004-10-24,13400.0,14000.0,13399.0,13909.0,229276906,16483,25,13234.0,13909.0,1383-08-03
2004-10-25,13699.0,13700.0,13300.0,13394.0,137811728,10289,14,13909.0,13394.0,1383-08-04
2004-10-26,13380.0,13394.0,13376.0,13378.0,297722115,22254,13,13394.0,13378.0,1383-08-05
2004-10-27,13333.0,13334.0,13020.0,13303.0,62168046,4673,14,13378.0,13303.0,1383-08-06
2004-10-30,13290.0,13334.0,12999.0,13132.0,402458542,30645,19,13303.0,13132.0,1383-08-09
2004-10-31,12671.0,12979.0,12671.0,12866.0,223381461,17361,10,13132.0,12866.0,1383-08-10
2004-11-01,12726.0,12988.0,12671.0,12782.0,281863610,22051,26,12866.0,12782.0,1383-08-11
2004-11-02,13006.0,13400.0,13000.0,13113.0,470590243,35886,11,12782.0,13113.0,1383-08-12
2004-11-03,13999.0,14000.0,13999.0,13999.0,77138990,5510,9,13113.0,13999.0,1383-08-13
2004-11-06,14000.0,14003.0,14000.0,14000.0,230780422,16484,4,13999.0,14000.0,1383-08-16
2004-11-07,14010.0,14026.0,14010.0,14020.0,87989673,6276,9,14000.0,14020.0,1383-08-17
2004-11-08,14002.0,14500.0,14000.0,14151.0,97458952,6887,13,14020.0,14151.0,1383-08-18
2004-11-09,14001.0,14008.0,14000.0,14002.0,258064093,18430,14,14151.0,14002.0,1383-08-19
2004-11-10,14250.0,14300.0,14000.0,14095.0,466414913,33089,27,14002.0,14095.0,1383-08-20
2005-01-16,13900.0,13900.0,13900.0,13900.0,1592217200,114548,13,14095.0,13900.0,1383-10-27
2005-09-17,7800.0,7800.0,7000.0,7080.0,18118600,2559,8,13900.0,7080.0,1384-06-26
2005-09-18,7000.0,7099.0,6899.0,6996.0,172335006,24631,23,7080.0,6996.0,1384-06-27
2005-09-19,7000.0,7066.0,6990.0,7010.0,141498509,20184,12,6996.0,7010.0,1384-06-28
2005-09-21,7052.0,7106.0,7050.0,7066.0,262872185,37200,11,7010.0,7066.0,1384-06-30
2005-09-24,7200.0,7380.0,7107.0,7263.0,401315929,55250,45,7066.0,7263.0,1384-07-02
2005-10-30,6700.0,6700.0,6700.0,6700.0,4824824100,720123,30,7263.0,6700.0,1384-08-08
2014-09-01,3000.0,3000.0,2901.0,2993.0,337954691,112900,21,6700.0,3000.0,1393-06-10
2014-09-02,2811.0,2979.0,2754.0,2791.0,726544579,260281,59,2993.0,2770.0,1393-06-11
2014-09-03,2700.0,2700.0,2585.0,2683.0,572252624,213261,163,2791.0,2646.0,1393-06-12
2014-09-06,2690.0,2690.0,2555.0,2588.0,531409532,205299,68,2683.0,2559.0,1393-06-15
2014-09-07,2520.0,2520.0,2401.0,2474.0,571974594,231165,49,2588.0,2401.0,1393-06-16
2014-09-08,2512.0,2512.0,2422.0,2451.0,256976670,104865,53,2474.0,2459.0,1393-06-17
2014-09-09,2421.0,2456.0,2411.0,2431.0,322643491,132742,46,2451.0,2411.0,1393-06-18
2014-09-10,2410.0,2462.0,2340.0,2438.0,479411742,196656,37,2431.0,2399.0,1393-06-19
2014-09-13,2399.0,2400.0,2300.0,2342.0,186034030,79447,22,2438.0,2400.0,1393-06-22
2014-09-14,2350.0,2350.0,2258.0,2300.0,255326246,111003,17,2342.0,2285.0,1393-06-23
2014-09-15,2260.0,2260.0,2158.0,2201.0,546043923,248074,49,2300.0,2170.0,1393-06-24
2014-09-16,2158.0,2198.0,2041.0,2125.0,724313710,340863,92,2201.0,2180.0,1393-06-25
2014-09-17,2140.0,2197.0,2140.0,2175.0,457590206,210364,58,2125.0,2188.0,1393-06-26
2014-09-20,2200.0,2329.0,2151.0,2185.0,355571093,162720,35,2175.0,2200.0,1393-06-29
2014-09-21,2200.0,2260.0,2190.0,2209.0,362135777,163958,34,2185.0,2190.0,1393-06-30
2014-09-22,2100.0,2230.0,2100.0,2189.0,168601122,77036,26,2209.0,2187.0,1393-06-31
2014-09-23,2152.0,2179.0,2101.0,2132.0,260759300,122291,25,2189.0,2137.0,1393-07-01
2014-09-24,2220.0,2220.0,2154.0,2184.0,213640819,97811,26,2132.0,2180.0,1393-07-02
2014-09-27,2199.0,2199.0,2120.0,2173.0,288915577,132975,27,2184.0,2186.0,1393-07-05
2014-09-28,2164.0,2170.0,2131.0,2156.0,428502983,198719,22,2173.0,2159.0,1393-07-06
2014-09-29,2294.0,2294.0,2132.0,2173.0,328969828,151366,23,2156.0,2194.0,1393-07-07
2014-09-30,2134.0,2193.0,2134.0,2185.0,354004436,162010,16,2173.0,2180.0,1393-07-08
2014-10-01,2151.0,2189.0,2140.0,2158.0,1044763204,484043,102,2185.0,2150.0,1393-07-09
2014-10-04,2145.0,2218.0,2145.0,2163.0,36885200,17050,7,2158.0,2174.0,1393-07-12
2014-10-06,2190.0,2333.0,2170.0,2265.0,793223008,350254,62,2163.0,2333.0,1393-07-14
2014-10-07,2300.0,2317.0,2201.0,2294.0,501983401,218850,28,2265.0,2300.0,1393-07-15
2014-10-08,2305.0,2305.0,2182.0,2221.0,1792718780,807315,62,2294.0,2200.0,1393-07-16
2014-10-11,2200.0,2200.0,2152.0,2187.0,215231334,98401,15,2221.0,2158.0,1393-07-19
2014-10-12,2200.0,2228.0,2171.0,2188.0,184800731,84444,23,2187.0,2219.0,1393-07-20
2014-10-14,2220.0,2220.0,2170.0,2201.0,99683713,45283,11,2188.0,2170.0,1393-07-22
2014-10-15,2053.0,2200.0,2032.0,2122.0,1411341049,665241,89,2201.0,2131.0,1393-07-23
2014-10-18,2100.0,2199.0,2100.0,2174.0,446739352,205490,18,2122.0,2160.0,1393-07-26
2014-10-19,2112.0,2150.0,2063.0,2103.0,764873116,363741,65,2174.0,2101.0,1393-07-27
2014-10-20,2078.0,2150.0,2075.0,2116.0,1989634612,940239,177,2103.0,2086.0,1393-07-28
2014-10-21,2155.0,2157.0,2008.0,2077.0,2022165999,973410,144,2116.0,2060.0,1393-07-29
2014-10-22,2002.0,2020.0,1930.0,1954.0,1034682555,529576,146,2077.0,1972.0,1393-07-30
2015-03-30,1700.0,1700.0,1564.0,1697.0,188091400,110842,11,1954.0,1564.0,1394-01-10
2015-03-31,1650.0,1650.0,1562.0,1564.0,20308061086,12985074,12546,1697.0,1562.0,1394-01-11
2019-12-03,483.0,497.0,483.0,487.0,12083732745,24794343,3327,1564.0,497.0,1398-09-12
2019-12-04,501.0,501.0,501.0,501.0,2563329927,5116427,407,487.0,501.0,1398-09-13
2019-12-07,516.0,516.0,516.0,516.0,8976478932,17396277,880,501.0,516.0,1398-09-16
2019-12-08,531.0,531.0,531.0,531.0,17317523709,32613039,1688,516.0,531.0,1398-09-17
2019-12-09,557.0,557.0,557.0,557.0,497025582,892326,91,531.0,557.0,1398-09-18
2019-12-10,573.0,573.0,573.0,573.0,515701719,900003,92,557.0,573.0,1398-09-19
2019-12-11,590.0,590.0,590.0,590.0,1445102340,2449326,159,573.0,590.0,1398-09-20
2019-12-14,607.0,607.0,607.0,607.0,634838841,1045863,104,590.0,607.0,1398-09-23
2019-12-15,637.0,637.0,637.0,637.0,212693026,333898,67,607.0,637.0,1398-09-24
2019-12-16,656.0,656.0,656.0,656.0,501766528,764888,70,637.0,656.0,1398-09-25
2019-12-17,675.0,675.0,675.0,675.0,688566150,1020098,80,656.0,675.0,1398-09-26
2019-12-18,695.0,695.0,695.0,695.0,2013796555,2897549,214,675.0,695.0,1398-09-27
2019-12-21,729.0,729.0,729.0,729.0,1015656651,1393219,119,695.0,729.0,1398-09-30
2019-12-22,750.0,750.0,750.0,750.0,187068750,249425,45,729.0,750.0,1398-10-01
2019-12-25,772.0,795.0,772.0,792.0,133961339,169204,28,750.0,795.0,1398-10-04
2019-12-28,815.0,815.0,815.0,815.0,416903470,511538,87,792.0,815.0,1398-10-07
2019-12-29,839.0,839.0,839.0,839.0,479084941,571019,67,815.0,839.0,1398-10-08
