,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
19,2021-05-18,1,0,0,1,30000,0,0,30000,270900000,0,0,270900000,9030.0,,,9030.0,30000.0
20,2021-05-17,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
21,2021-05-16,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
22,2021-05-15,3,1,2,0,100000,551706,651706,0,903000000,4981905180,5884905180,0,9030.0,9030.0,9030.0,,-551706.0
23,2021-05-05,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
24,2021-04-14,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
25,2021-04-06,1,0,2,1,0,0,0,0,0,0,0,0,,,,,0.0
26,2021-04-05,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
27,2021-04-03,1,0,0,1,50000,0,0,50000,431750000,0,0,431750000,8635.0,,,8635.0,50000.0
28,2021-03-28,1,1,1,0,580000,50000,630000,0,5008300000,431750000,5440050000,0,8635.0,8635.0,8635.0,,-50000.0
29,2021-03-17,6,2,1,0,0,0,0,0,0,0,0,0,,,,,0.0
30,2021-03-16,6,1,1,1,433300,200000,608300,25000,3741545500,1727000000,5252670500,215875000,8635.0,8635.0,8635.0,8635.0,-175000.0
31,2021-03-14,6,0,3,1,704632,0,670000,34632,5794893568,0,5510080000,284813568,8224.0,8224.0,,8224.0,34632.0
32,2021-03-10,1,0,1,0,648,0,648,0,5075784,0,5075784,0,7833.0,7833.0,,,0.0
33,2021-03-09,1,0,1,0,12420,0,12420,0,97285860,0,97285860,0,7833.0,7833.0,,,0.0
34,2021-03-02,1,0,1,0,640000,0,640000,0,5013120000,0,5013120000,0,7833.0,7833.0,,,0.0
35,2021-02-23,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
36,2021-02-22,1,0,1,0,50000,0,50000,0,391650000,0,391650000,0,7833.0,7833.0,,,0.0
37,2021-02-20,5,0,1,0,734300,0,734300,0,5751771900,0,5751771900,0,7833.0,7833.0,,,0.0
38,2021-02-17,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
39,2021-02-15,2,0,5,0,0,0,0,0,0,0,0,0,,,,,0.0
40,2021-02-14,3,0,1,2,0,0,0,0,0,0,0,0,,,,,0.0
41,2021-02-13,3,0,1,1,0,0,0,0,0,0,0,0,,,,,0.0
42,2021-02-09,4,0,0,2,0,0,0,0,0,0,0,0,,,,,0.0
43,2021-02-08,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
44,2021-02-07,3,0,1,1,0,0,0,0,0,0,0,0,,,,,0.0
45,2021-02-06,2,0,2,1,0,0,0,0,0,0,0,0,,,,,0.0
46,2021-01-31,2,0,1,0,1614680,0,1614680,0,12045512800,0,12045512800,0,7460.0,7460.0,,,0.0
47,2021-01-30,3,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
48,2021-01-27,3,0,1,1,966778,0,700000,266778,6868957690,0,4973500000,1895457690,7105.0,7105.0,,7105.0,266778.0
49,2021-01-24,2,0,2,2,0,0,0,0,0,0,0,0,,,,,0.0
50,2021-01-23,2,0,2,2,0,0,0,0,0,0,0,0,,,,,0.0
51,2021-01-20,3,0,1,2,0,0,0,0,0,0,0,0,,,,,0.0
52,2021-01-19,4,0,1,1,750000,0,741000,9000,5075250000,0,5014347000,60903000,6767.0,6767.0,,6767.0,9000.0
53,2021-01-18,4,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
54,2021-01-16,2,0,1,1,1229613,0,1221836,7777,7924855785,0,7874733020,50122765,6445.0,6445.0,,6445.0,7777.0
55,2021-01-13,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
56,2021-01-12,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
57,2021-01-11,1,0,1,1,0,0,0,0,0,0,0,0,,,,,0.0
58,2021-01-10,3,0,3,2,480000,0,0,480000,3093600000,0,0,3093600000,6445.0,,,6445.0,480000.0
59,2021-01-02,5,1,3,1,968998,177000,225000,920998,5978717660,1092090000,1388250000,5682557660,6170.0,6170.0,6170.0,6170.0,743998.0
60,2020-12-30,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
61,2020-12-29,5,1,1,1,0,0,0,0,0,0,0,0,,,,,0.0
62,2020-12-28,1,0,0,1,300000,0,0,300000,1764000000,0,0,1764000000,5880.0,,,5880.0,300000.0
63,2020-12-27,4,0,1,1,1150000,0,850000,300000,6459550000,0,4774450000,1685100000,5617.0,5617.0,,5617.0,300000.0
64,2020-12-22,8,1,2,0,0,0,0,0,0,0,0,0,,,,,0.0
65,2020-12-21,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
66,2020-12-20,1,4,3,2,1000900,6265703,4765845,2500758,5622055300,35194453751,26769751365,14046757686,5617.0,5617.0,5617.0,5617.0,-3764945.0
67,2020-12-19,3,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
68,2020-12-12,2,0,0,1,150000,0,0,150000,842550000,0,0,842550000,5617.0,,,5617.0,150000.0
69,2020-12-09,1,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
70,2020-12-06,1,0,1,1,890155,0,870155,20000,5000000635,0,4887660635,112340000,5617.0,5617.0,,5617.0,20000.0
71,2020-11-30,4,1,1,1,0,0,0,0,0,0,0,0,,,,,0.0
72,2020-11-25,6,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
73,2020-11-24,3,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
74,2020-11-23,4,1,2,2,0,0,0,0,0,0,0,0,,,,,0.0
75,2020-11-22,3,2,2,1,2176364,50000,2226364,0,12224636588,280850000,12505486588,0,5617.0,5617.0,5617.0,,-50000.0
76,2020-11-21,1,2,1,0,0,0,0,0,0,0,0,0,,,,,0.0
77,2020-11-18,2,0,1,1,0,0,0,0,0,0,0,0,,,,,0.0
78,2020-11-17,2,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
79,2020-11-16,1,0,1,1,0,0,0,0,0,0,0,0,,,,,0.0
