,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-06-19,0,1,0,1,0,776820,0,776820,0,17952310200,0,17952310200,,,23110.0,23110.0,0.0
1,2022-06-14,0,1,0,1,0,1000000,0,1000000,0,24360000000,0,24360000000,,,24360.0,24360.0,0.0
2,2022-06-13,0,1,0,1,0,1000000,0,1000000,0,23690000000,0,23690000000,,,23690.0,23690.0,0.0
3,2022-06-12,0,1,0,1,0,1000000,0,1000000,0,23820000000,0,23820000000,,,23820.0,23820.0,0.0
4,2022-06-11,0,1,0,1,0,1000000,0,1000000,0,24820000000,0,24820000000,,,24820.0,24820.0,0.0
5,2022-06-08,0,1,0,1,0,1000000,0,1000000,0,24940000000,0,24940000000,,,24940.0,24940.0,0.0
6,2022-06-07,0,1,0,1,0,1000000,0,1000000,0,25080000000,0,25080000000,,,25080.0,25080.0,0.0
7,2022-06-06,0,1,0,1,0,1000000,0,1000000,0,26530000000,0,26530000000,,,26530.0,26530.0,0.0
8,2022-06-01,0,1,0,1,0,500000,0,500000,0,13425000000,0,13425000000,,,26850.0,26850.0,0.0
9,2022-03-09,0,1,0,1,0,5000000,0,5000000,0,97500000000,0,97500000000,,,19500.0,19500.0,0.0
10,2021-06-30,0,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0
11,2021-02-14,0,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0
12,2021-01-19,0,1,0,1,0,36,0,36,0,1526400,0,1526400,,,42400.0,42400.0,0.0
13,2020-05-19,0,1,2,1,0,1711198,515,1710683,0,150582012802,45319485,150536693317,,87999.0,87998.00654395342,87998.00624487412,-515.0
14,2020-02-19,2,0,0,1,515,0,0,515,22312375,0,0,22312375,43325.0,,,43325.0,515.0
15,2020-01-13,0,0,0,4,0,0,0,4028474,0,0,0,81056819358,,,,20120.973688299837,4028474.0
16,2020-01-01,2,0,0,1,876,0,0,876,18396000,0,0,18396000,21000.0,,,21000.0,876.0
17,2019-10-06,0,1,0,1,0,427599,0,427599,0,5339856312,0,5339856312,,,12488.0,12488.0,0.0
18,2019-09-07,0,1,0,1,0,38,0,38,0,471618,0,471618,,,12411.0,12411.0,0.0
19,2019-07-09,0,1,0,1,0,855199,0,855199,0,9059023007,0,9059023007,,,10592.88306815139,10592.88306815139,0.0
20,2019-07-03,0,1,0,1,0,855199,0,855199,0,8928277560,0,8928277560,,,10440.0,10440.0,0.0
21,2019-06-22,0,1,0,1,0,50000,0,50000,0,755000000,0,755000000,,,15100.0,15100.0,0.0
22,2019-06-19,0,1,0,1,0,600000,0,600000,0,9099000000,0,9099000000,,,15165.0,15165.0,0.0
23,2019-06-11,0,1,0,1,0,312559,0,312559,0,5151909997,0,5151909997,,,16483.0,16483.0,0.0
24,2019-06-08,0,1,0,1,0,578200,0,578200,0,8959209000,0,8959209000,,,15495.0,15495.0,0.0
25,2019-06-01,0,1,0,1,0,554000,0,554000,0,9088370000,0,9088370000,,,16405.0,16405.0,0.0
26,2019-05-28,0,1,0,1,0,721750,0,721750,0,11863404750,0,11863404750,,,16437.0,16437.0,0.0
27,2019-05-25,0,1,0,1,0,605000,0,605000,0,9944385000,0,9944385000,,,16437.0,16437.0,0.0
28,2019-05-21,0,1,0,1,0,548930,0,548930,0,8960733320,0,8960733320,,,16324.0,16324.0,0.0
29,2019-05-20,0,1,0,1,0,953560,0,953560,0,14928935360,0,14928935360,,,15656.0,15656.0,0.0
30,2019-05-18,0,1,0,1,0,661800,0,661800,0,9405501600,0,9405501600,,,14212.0,14212.0,0.0
31,2019-05-12,0,1,0,1,0,626000,0,626000,0,8032832000,0,8032832000,,,12832.0,12832.0,0.0
32,2019-05-06,0,1,0,1,0,601000,0,601000,0,8457873000,0,8457873000,,,14073.0,14073.0,0.0
33,2019-04-30,0,1,0,1,0,86,0,86,0,1215524,0,1215524,,,14134.0,14134.0,0.0
34,2019-03-18,0,3,0,2,0,2552398,0,2552398,0,19875523226,0,19875523226,,,7787.0,7787.0,0.0
35,2019-03-13,0,1,0,1,0,1800000,0,1800000,0,13948200000,0,13948200000,,,7749.0,7749.0,0.0
