,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
92,2021-01-27,1,0,1,0,100000,0,100000,0,2100000000,0,2100000000,0,21000.0,21000.0,,,0.0
93,2021-01-24,3,0,3,0,780000,0,780000,0,17160000000,0,17160000000,0,22000.0,22000.0,,,0.0
94,2021-01-19,1,0,1,0,50000,0,50000,0,1100000000,0,1100000000,0,22000.0,22000.0,,,0.0
95,2021-01-04,1,0,2,0,240000,0,240000,0,5520000000,0,5520000000,0,23000.0,23000.0,,,0.0
96,2021-01-02,2,0,4,2,1386000,0,716000,670000,31878000000,0,16468000000,15410000000,23000.0,23000.0,,23000.0,670000.0
97,2020-12-30,1,0,2,1,0,0,0,0,0,0,0,0,,,,,0.0
98,2020-12-29,0,1,0,1,0,3542,0,3542,0,81466000,0,81466000,,,23000.0,23000.0,0.0
99,2020-12-28,1,0,1,0,130000,0,130000,0,2990000000,0,2990000000,0,23000.0,23000.0,,,0.0
100,2020-12-27,1,0,1,0,95000,0,95000,0,2185000000,0,2185000000,0,23000.0,23000.0,,,0.0
101,2020-12-22,1,1,0,1,250000,40000,0,290000,6000000000,960000000,0,6960000000,24000.0,,24000.0,24000.0,250000.0
102,2020-12-20,2,0,1,1,500000,0,150000,350000,12750000000,0,3825000000,8925000000,25500.0,25500.0,,25500.0,350000.0
103,2020-12-19,1,0,0,1,100000,0,0,100000,2550000000,0,0,2550000000,25500.0,,,25500.0,100000.0
104,2020-12-16,1,0,0,2,95000,0,0,95000,2565000000,0,0,2565000000,27000.0,,,27000.0,95000.0
105,2020-12-14,1,0,1,0,50000,0,50000,0,1350000000,0,1350000000,0,27000.0,27000.0,,,0.0
106,2020-12-07,2,2,1,1,2175,55000,49812,7363,58725000,1485000000,1344924000,198801000,27000.0,27000.0,27000.0,27000.0,-47637.0
107,2020-12-06,2,2,3,3,967669,708000,1243216,432453,27094732000,19824000000,34810048000,12108684000,28000.0,28000.0,28000.0,28000.0,-275547.0
108,2020-12-05,0,1,1,0,0,50000,50000,0,0,1450000000,1450000000,0,,29000.0,29000.0,,-50000.0
109,2020-12-02,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
110,2020-11-30,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
111,2020-11-21,0,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0
112,2020-07-11,2,1,0,1,111045,20000,0,131045,1998810000,360000000,0,2358810000,18000.0,,18000.0,18000.0,111045.0
113,2020-07-06,1,2,1,1,301,48500,48500,301,5466160,880760000,880760000,5466160,18160.0,18160.0,18160.0,18160.0,-48199.0
114,2020-06-27,1,0,0,1,400000,0,0,400000,7264000000,0,0,7264000000,18160.0,,,18160.0,400000.0
115,2020-06-01,4,0,1,0,690000,0,690000,0,11109000000,0,11109000000,0,16100.0,16100.0,,,0.0
116,2020-02-17,2,0,0,1,950000,0,0,950000,5130000000,0,0,5130000000,5400.0,,,5400.0,950000.0
